Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume
2017-11-01 00:00:00,1083,1,NB_NS,1,North,58,0,,16427,69,1,53,0,4,0,0
2017-11-01 00:00:00,1083,2,NB_MID,1,North,103,0,,16219,19,0,101,0,2,0,0
2017-11-01 00:00:00,1083,3,NB_OS,1,North,19,0,,16886,0,0,19,0,0,0,0
2017-11-01 00:00:00,1083,4,SB_OS,2,South,27,0,,17346,37,1,25,0,0,1,0
2017-11-01 00:00:00,1083,5,SB_MID,2,South,111,0,,17257,18,5,104,0,2,0,0
2017-11-01 00:00:00,1083,6,SB_NS,2,South,127,0,,16905,16,2,123,0,1,1,0
2017-11-01 01:00:00,1083,1,NB_NS,1,North,31,0,,15780,32,0,30,0,1,0,0
2017-11-01 01:00:00,1083,2,NB_MID,1,North,57,0,,17437,35,1,53,1,2,0,0
2017-11-01 01:00:00,1083,3,NB_OS,1,North,6,0,,17084,0,0,6,0,0,0,0
2017-11-01 01:00:00,1083,4,SB_OS,2,South,14,0,,17599,0,1,13,0,0,0,0
2017-11-01 01:00:00,1083,5,SB_MID,2,South,53,0,,17961,0,0,53,0,0,0,0
2017-11-01 01:00:00,1083,6,SB_NS,2,South,62,0,,17003,97,0,56,0,4,2,0
2017-11-01 02:00:00,1083,1,NB_NS,1,North,33,0,,14941,61,0,31,0,2,0,0
2017-11-01 02:00:00,1083,2,NB_MID,1,North,60,0,,16778,33,0,58,0,2,0,0
2017-11-01 02:00:00,1083,3,NB_OS,1,North,12,0,,18611,0,0,12,0,0,0,0
2017-11-01 02:00:00,1083,4,SB_OS,2,South,12,0,,17708,167,2,8,0,2,0,0
2017-11-01 02:00:00,1083,5,SB_MID,2,South,62,0,,18665,32,4,56,0,2,0,0
2017-11-01 02:00:00,1083,6,SB_NS,2,South,59,0,,16563,68,0,55,0,4,0,0
2017-11-01 03:00:00,1083,1,NB_NS,1,North,37,0,,17658,81,1,33,0,3,0,0
2017-11-01 03:00:00,1083,2,NB_MID,1,North,48,0,,17315,62,0,45,0,3,0,0
2017-11-01 03:00:00,1083,3,NB_OS,1,North,13,0,,18568,0,1,12,0,0,0,0
2017-11-01 03:00:00,1083,4,SB_OS,2,South,12,0,,19977,83,2,9,0,1,0,0
2017-11-01 03:00:00,1083,5,SB_MID,2,South,51,0,,18687,59,1,47,0,3,0,0
2017-11-01 03:00:00,1083,6,SB_NS,2,South,49,0,,17653,82,2,43,0,3,1,0
2017-11-01 04:00:00,1083,1,NB_NS,1,North,52,0,,16410,38,1,49,0,2,0,0
2017-11-01 04:00:00,1083,2,NB_MID,1,North,62,0,,16604,32,0,59,1,2,0,0
2017-11-01 04:00:00,1083,3,NB_OS,1,North,20,0,,16875,50,0,19,0,1,0,0
2017-11-01 04:00:00,1083,4,SB_OS,2,South,15,0,,16907,0,1,14,0,0,0,0
2017-11-01 04:00:00,1083,5,SB_MID,2,South,77,0,,17572,52,5,68,0,2,2,0
2017-11-01 04:00:00,1083,6,SB_NS,2,South,84,0,,17063,83,1,76,0,7,0,0
2017-11-01 05:00:00,1083,1,NB_NS,1,North,187,0,,15893,32,2,175,1,6,0,3
2017-11-01 05:00:00,1083,2,NB_MID,1,North,164,0,,16931,85,0,149,0,9,5,1
2017-11-01 05:00:00,1083,3,NB_OS,1,North,69,0,,17488,14,1,67,0,1,0,0
2017-11-01 05:00:00,1083,4,SB_OS,2,South,52,0,,17901,0,1,51,0,0,0,0
2017-11-01 05:00:00,1083,5,SB_MID,2,South,126,0,,18199,24,4,118,0,3,0,1
2017-11-01 05:00:00,1083,6,SB_NS,2,South,156,0,,17240,51,4,144,0,7,1,0
2017-11-01 06:00:00,1083,1,NB_NS,1,North,359,0,,14699,56,4,325,1,19,1,9
2017-11-01 06:00:00,1083,2,NB_MID,1,North,460,0,,15002,33,2,440,2,13,2,1
2017-11-01 06:00:00,1083,3,NB_OS,1,North,459,0,,15468,13,1,452,0,6,0,0
2017-11-01 06:00:00,1083,4,SB_OS,2,South,229,0,,16900,17,7,218,0,3,1,0
2017-11-01 06:00:00,1083,5,SB_MID,2,South,304,0,,17169,30,8,285,1,8,1,1
2017-11-01 06:00:00,1083,6,SB_NS,2,South,380,0,,16885,39,4,356,2,12,3,3
2017-11-01 07:00:00,1083,1,NB_NS,1,North,850,0,,11568,27,6,807,2,19,4,12
2017-11-01 07:00:00,1083,2,NB_MID,1,North,1157,0,,9282,29,16,1099,2,31,3,6
2017-11-01 07:00:00,1083,3,NB_OS,1,North,1167,0,,9401,25,6,1127,1,25,4,4
2017-11-01 07:00:00,1083,4,SB_OS,2,South,572,0,,15818,19,12,549,0,9,2,0
2017-11-01 07:00:00,1083,5,SB_MID,2,South,546,0,,15339,20,18,516,1,10,1,0
2017-11-01 07:00:00,1083,6,SB_NS,2,South,928,0,,14871,27,6,887,1,25,0,9
2017-11-01 08:00:00,1083,1,NB_NS,1,North,989,0,,8745,30,9,936,2,27,3,11
2017-11-01 08:00:00,1083,2,NB_MID,1,North,842,0,,6152,42,6,800,1,33,2,0
2017-11-01 08:00:00,1083,3,NB_OS,1,North,880,0,,6863,53,9,813,2,43,4,9
2017-11-01 08:00:00,1083,4,SB_OS,2,South,609,0,,15422,13,12,589,0,8,0,0
2017-11-01 08:00:00,1083,5,SB_MID,2,South,605,0,,14751,38,18,564,0,23,0,0
2017-11-01 08:00:00,1083,6,SB_NS,2,South,1005,0,,14436,51,8,935,2,45,6,9
2017-11-01 09:00:00,1083,1,NB_NS,1,North,689,0,,12438,48,3,640,3,32,1,10
2017-11-01 09:00:00,1083,2,NB_MID,1,North,869,0,,12173,41,7,820,3,33,3,3
2017-11-01 09:00:00,1083,3,NB_OS,1,North,901,0,,12356,28,1,873,1,25,0,1
2017-11-01 09:00:00,1083,4,SB_OS,2,South,444,0,,16104,25,11,421,1,11,0,0
2017-11-01 09:00:00,1083,5,SB_MID,2,South,522,0,,15780,40,14,487,0,21,0,0
2017-11-01 09:00:00,1083,6,SB_NS,2,South,701,0,,15410,66,0,643,2,43,3,10
2017-11-01 10:00:00,1083,1,NB_NS,1,North,598,0,,13493,64,5,543,1,35,3,11
2017-11-01 10:00:00,1083,2,NB_MID,1,North,630,0,,14499,60,7,583,2,33,5,0
2017-11-01 10:00:00,1083,3,NB_OS,1,North,528,0,,15525,34,1,509,0,17,1,0
2017-11-01 10:00:00,1083,4,SB_OS,2,South,375,0,,16550,29,9,354,1,10,1,0
2017-11-01 10:00:00,1083,5,SB_MID,2,South,474,0,,16248,42,15,439,0,19,1,0
2017-11-01 10:00:00,1083,6,SB_NS,2,South,619,0,,15225,65,4,559,5,38,2,11
2017-11-01 11:00:00,1083,1,NB_NS,1,North,571,0,,13688,60,8,516,2,32,2,11
2017-11-01 11:00:00,1083,2,NB_MID,1,North,596,0,,14923,49,7,556,4,27,2,0
2017-11-01 11:00:00,1083,3,NB_OS,1,North,483,0,,15542,41,0,461,1,20,0,1
2017-11-01 11:00:00,1083,4,SB_OS,2,South,433,0,,16062,35,11,406,1,11,4,0
2017-11-01 11:00:00,1083,5,SB_MID,2,South,530,0,,15712,40,13,495,1,20,1,0
2017-11-01 11:00:00,1083,6,SB_NS,2,South,646,0,,15184,73,4,584,1,40,7,10
