Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume,date,hours,/Users/ushisensei/datalake/weekday
2012-11-01 18:00:00,1083,3,NB_OS,1,North,653,0,,16268,9,2,645,0,6,0,0.0,2012-11-01,18:00:00,4
2012-11-02 18:00:00,1083,3,NB_OS,1,North,619,0,,16355,11,1,611,0,7,0,0.0,2012-11-02,18:00:00,5
2012-11-03 18:00:00,1083,3,NB_OS,1,North,393,0,,17667,5,1,390,0,2,0,0.0,2012-11-03,18:00:00,6
2012-11-04 18:00:00,1083,3,NB_OS,1,North,275,0,,17390,11,0,272,0,3,0,0.0,2012-11-04,18:00:00,7
2012-11-05 18:00:00,1083,3,NB_OS,1,North,674,0,,15480,7,3,665,1,5,0,0.0,2012-11-05,18:00:00,1
2012-11-06 18:00:00,1083,3,NB_OS,1,North,811,0,,14547,5,4,802,0,4,0,1.0,2012-11-06,18:00:00,2
2012-11-07 18:00:00,1083,3,NB_OS,1,North,666,0,,16079,17,4,651,0,11,0,0.0,2012-11-07,18:00:00,3
2012-11-08 18:00:00,1083,3,NB_OS,1,North,811,0,,15260,4,2,806,0,2,1,0.0,2012-11-08,18:00:00,4
2012-11-09 18:00:00,1083,3,NB_OS,1,North,603,0,,16124,7,2,597,0,4,0,0.0,2012-11-09,18:00:00,5
2012-11-10 18:00:00,1083,3,NB_OS,1,North,358,0,,17470,14,1,352,0,5,0,0.0,2012-11-10,18:00:00,6
2012-11-11 18:00:00,1083,3,NB_OS,1,North,326,0,,17272,3,1,324,0,1,0,0.0,2012-11-11,18:00:00,7
2012-11-12 18:00:00,1083,3,NB_OS,1,North,649,0,,15741,11,4,638,0,7,0,0.0,2012-11-12,18:00:00,1
2012-11-13 18:00:00,1083,3,NB_OS,1,North,794,0,,15750,9,5,781,1,7,0,0.0,2012-11-13,18:00:00,2
2012-11-14 18:00:00,1083,3,NB_OS,1,North,681,0,,15976,13,5,666,1,9,0,0.0,2012-11-14,18:00:00,3
