date,place,team
15/09/2016, A ,Zorya Lugansk
29/09/2016, H ,Zorya Lugansk
20/10/2016, H ,AS Saint-Étienne
03/11/2016, A ,AS Saint-Étienne
24/11/2016, H ,FK Rostov
08/12/2016, A ,FK Rostov
16/02/2017, H ,RSC Anderlecht
22/02/2017, A ,RSC Anderlecht
09/03/2017, A ,Celta Vigo
16/03/2017, H ,Celta Vigo
13/04/2017, A ,AFC Ajax
20/04/2017, H ,AFC Bournemouth
04/05/2017, A ,Southampton FC
11/05/2017, H ,Hull City
24/05/2017, N ,Manchester City
14/08/2016, A ,Watford FC
19/08/2016, H ,Leicester City
27/08/2016, A ,Stoke City
10/09/2016, H ,Liverpool FC
18/09/2016, A ,Chelsea FC
24/09/2016, H ,Burnley FC
02/10/2016, H ,Swansea City
17/10/2016, A ,Arsenal FC
23/10/2016, A ,West Ham United
29/10/2016, H ,Everton FC
06/11/2016, A ,Tottenham Hotspur
19/11/2016, H ,Crystal Palace
27/11/2016, H ,West Bromwich Albion
04/12/2016, A ,Sunderland AFC
11/12/2016, H ,Middlesbrough FC
14/12/2016, A ,West Ham United
17/12/2016, A ,Liverpool FC
26/12/2016, H ,Stoke City
31/12/2016, H ,Hull City
02/01/2017, A ,Leicester City
15/01/2017, H ,Watford FC
21/01/2017, A ,AFC Bournemouth
01/02/2017, H ,Middlesbrough FC
05/02/2017, A ,West Bromwich Albion
11/02/2017, H ,Everton FC
04/03/2017, H ,Sunderland AFC
19/03/2017, A ,Chelsea FC
01/04/2017, H ,Burnley FC
04/04/2017, H ,Manchester City
09/04/2017, A ,Swansea City
16/04/2017, H ,Arsenal FC
23/04/2017, A ,Tottenham Hotspur
27/04/2017, A ,Southampton FC
30/04/2017, H ,Crystal Palace
07/05/2017, A ,Reading FC
14/05/2017, A ,Wigan Athletic
17/05/2017, A ,Blackburn Rovers
21/05/2017, H ,Chelsea FC
07/01/2017, H ,Northampton Town
29/01/2017, H ,Manchester City
19/02/2017, A ,West Ham United
13/03/2017, A ,Hull City
21/09/2016, A ,Hull City
26/10/2016, H ,Southampton FC
30/11/2016, H ,Leicester City
