Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume,date,hours,/Users/ushisensei/datalake/weekday
2012-11-01 15:00:00,1083,3,NB_OS,1,North,499.0,0,,16913,28,1,484,0,14,0,0.0,2012-11-01,15:00:00,4
2012-11-02 15:00:00,1083,3,NB_OS,1,North,597.0,0,,16776,20,1,583,1,12,0,0.0,2012-11-02,15:00:00,5
2012-11-03 15:00:00,1083,3,NB_OS,1,North,453.0,0,,15832,18,2,442,1,8,0,0.0,2012-11-03,15:00:00,6
2012-11-04 15:00:00,1083,3,NB_OS,1,North,567.5,0,,17689,3,2,364,1,1,0,0.0,2012-11-04,15:00:00,7
2012-11-05 15:00:00,1083,3,NB_OS,1,North,493.0,0,,16415,43,5,466,0,21,0,1.0,2012-11-05,15:00:00,1
2012-11-06 15:00:00,1083,3,NB_OS,1,North,486.0,0,,16581,47,2,458,2,22,1,1.0,2012-11-06,15:00:00,2
2012-11-07 15:00:00,1083,3,NB_OS,1,North,549.0,0,,16591,35,1,527,2,19,0,0.0,2012-11-07,15:00:00,3
2012-11-08 15:00:00,1083,3,NB_OS,1,North,544.0,0,,16634,42,0,521,0,23,0,0.0,2012-11-08,15:00:00,4
2012-11-09 15:00:00,1083,3,NB_OS,1,North,615.0,0,,15684,33,1,594,0,19,1,0.0,2012-11-09,15:00:00,5
2012-11-10 15:00:00,1083,3,NB_OS,1,North,492.0,0,,16950,2,0,491,0,1,0,0.0,2012-11-10,15:00:00,6
2012-11-11 15:00:00,1083,3,NB_OS,1,North,441.0,0,,16988,9,1,436,0,4,0,0.0,2012-11-11,15:00:00,7
2012-11-12 15:00:00,1083,3,NB_OS,1,North,540.0,0,,16234,43,2,514,1,23,0,0.0,2012-11-12,15:00:00,1
2012-11-13 15:00:00,1083,3,NB_OS,1,North,548.0,0,,16360,38,1,524,2,20,1,0.0,2012-11-13,15:00:00,2
2012-11-14 15:00:00,1083,3,NB_OS,1,North,565.0,0,,16387,57,1,531,1,32,0,0.0,2012-11-14,15:00:00,3
2012-11-15 15:00:00,1083,3,NB_OS,1,North,569.0,0,,16483,40,2,542,2,23,0,0.0,2012-11-15,15:00:00,4
