Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume,date,hours,/Users/ushisensei/datalake/weekday
2012-12-01 14:00:00,1083,3,NB_OS,1,North,550.0,0,,17031,9,2,542,1,5,0,0,2012-12-01,14:00:00,6
2012-12-02 14:00:00,1083,3,NB_OS,1,North,490.0,0,,16736,10,3,482,0,5,0,0,2012-12-02,14:00:00,7
2012-12-03 14:00:00,1083,3,NB_OS,1,North,477.0,0,,17288,55,2,447,2,26,0,0,2012-12-03,14:00:00,1
2012-12-04 14:00:00,1083,3,NB_OS,1,North,499.0,0,,17055,18,0,490,0,9,0,0,2012-12-04,14:00:00,2
2012-12-05 14:00:00,1083,3,NB_OS,1,North,428.0,0,,16873,47,0,407,1,19,1,0,2012-12-05,14:00:00,3
2012-12-08 14:00:00,1083,3,NB_OS,1,North,557.0,0,,16849,11,4,547,0,5,1,0,2012-12-08,14:00:00,6
2012-12-09 14:00:00,1083,3,NB_OS,1,North,383.0,0,,17491,3,3,379,0,1,0,0,2012-12-09,14:00:00,7
2012-12-10 14:00:00,1083,3,NB_OS,1,North,486.0,0,,16693,29,1,471,0,13,1,0,2012-12-10,14:00:00,1
2012-12-17 14:00:00,1083,3,NB_OS,1,North,522.0,0,,16237,42,0,500,0,21,1,0,2012-12-17,14:00:00,1
2012-12-18 14:00:00,1083,3,NB_OS,1,North,557.0,0,,16436,45,0,530,2,24,1,0,2012-12-18,14:00:00,2
2012-12-19 14:00:00,1083,3,NB_OS,1,North,539.5,0,,16678,27,2,144,0,3,1,0,2012-12-19,14:00:00,3
2012-12-21 14:00:00,1083,3,NB_OS,1,North,539.5,0,,15597,0,0,0,0,0,0,0,2012-12-21,14:00:00,5
2012-12-22 14:00:00,1083,3,NB_OS,1,North,539.5,0,,16046,0,0,0,0,0,0,0,2012-12-22,14:00:00,6
2012-12-24 14:00:00,1083,3,NB_OS,1,North,539.5,0,,16949,0,0,124,0,0,0,0,2012-12-24,14:00:00,1
2012-12-25 14:00:00,1083,3,NB_OS,1,North,539.5,16,Holiday,18321,0,0,45,0,0,0,0,2012-12-25,14:00:00,2
2012-12-26 14:00:00,1083,3,NB_OS,1,North,539.5,16,Holiday,11500,18,3,800,1,9,6,2,2012-12-26,14:00:00,3
2012-12-27 14:00:00,1083,3,NB_OS,1,North,539.5,0,,17046,0,1,128,0,0,0,0,2012-12-27,14:00:00,4
2012-12-28 14:00:00,1083,3,NB_OS,1,North,392.0,0,,17112,13,0,387,0,4,1,0,2012-12-28,14:00:00,5
2012-12-29 14:00:00,1083,3,NB_OS,1,North,539.5,0,,9569,21,1,935,2,13,7,5,2012-12-29,14:00:00,6
2012-12-30 14:00:00,1083,3,NB_OS,1,North,445.0,0,,17110,7,0,442,0,3,0,0,2012-12-30,14:00:00,7
2012-12-31 14:00:00,1083,3,NB_OS,1,North,482.0,0,,17093,6,1,478,0,3,0,0,2012-12-31,14:00:00,1
2013-12-01 14:00:00,1083,3,NB_OS,1,North,631.0,0,,16360,6,0,625,2,4,0,0,2013-12-01,14:00:00,7
2013-12-02 14:00:00,1083,3,NB_OS,1,North,483.0,0,,16507,29,1,467,1,14,0,0,2013-12-02,14:00:00,1
2013-12-03 14:00:00,1083,3,NB_OS,1,North,573.0,0,,16249,47,2,544,0,27,0,0,2013-12-03,14:00:00,2
2013-12-04 14:00:00,1083,3,NB_OS,1,North,515.0,0,,16403,10,1,507,1,5,0,1,2013-12-04,14:00:00,3
2013-12-05 14:00:00,1083,3,NB_OS,1,North,601.0,0,,14982,35,3,576,0,21,0,1,2013-12-05,14:00:00,4
2013-12-06 14:00:00,1083,3,NB_OS,1,North,582.0,0,,15997,43,4,552,1,25,0,0,2013-12-06,14:00:00,5
2013-12-07 14:00:00,1083,3,NB_OS,1,North,506.0,0,,16612,6,2,500,0,3,0,1,2013-12-07,14:00:00,6
2013-12-08 14:00:00,1083,3,NB_OS,1,North,592.0,0,,16452,5,1,588,0,3,0,0,2013-12-08,14:00:00,7
2013-12-09 14:00:00,1083,3,NB_OS,1,North,497.0,0,,16742,34,5,473,2,16,1,0,2013-12-09,14:00:00,1
2013-12-10 14:00:00,1083,3,NB_OS,1,North,527.0,0,,16631,36,2,506,0,19,0,0,2013-12-10,14:00:00,2
2013-12-11 14:00:00,1083,3,NB_OS,1,North,469.0,0,,16500,32,3,451,0,15,0,0,2013-12-11,14:00:00,3
2013-12-12 14:00:00,1083,3,NB_OS,1,North,498.0,0,,16830,38,1,478,0,19,0,0,2013-12-12,14:00:00,4
2013-12-13 14:00:00,1083,3,NB_OS,1,North,581.0,0,,15981,34,4,555,1,20,0,1,2013-12-13,14:00:00,5
2013-12-14 14:00:00,1083,3,NB_OS,1,North,536.0,0,,16688,15,3,524,1,8,0,0,2013-12-14,14:00:00,6
2013-12-15 14:00:00,1083,3,NB_OS,1,North,449.0,0,,17070,13,4,437,2,5,1,0,2013-12-15,14:00:00,7
2013-12-16 14:00:00,1083,3,NB_OS,1,North,516.0,0,,16392,41,2,493,0,21,0,0,2013-12-16,14:00:00,1
2013-12-17 14:00:00,1083,3,NB_OS,1,North,537.0,0,,16585,28,4,516,2,15,0,0,2013-12-17,14:00:00,2
2013-12-18 14:00:00,1083,3,NB_OS,1,North,539.0,0,,16405,32,0,522,0,17,0,0,2013-12-18,14:00:00,3
2013-12-19 14:00:00,1083,3,NB_OS,1,North,580.0,0,,15894,31,5,555,1,17,1,1,2013-12-19,14:00:00,4
2013-12-20 14:00:00,1083,3,NB_OS,1,North,647.0,0,,16057,32,7,618,1,20,1,0,2013-12-20,14:00:00,5
2013-12-21 14:00:00,1083,3,NB_OS,1,North,539.5,0,,10469,26,8,908,1,20,5,10,2013-12-21,14:00:00,6
2013-12-22 14:00:00,1083,3,NB_OS,1,North,528.0,0,,16988,2,1,525,1,1,0,0,2013-12-22,14:00:00,7
2013-12-23 14:00:00,1083,3,NB_OS,1,North,536.0,0,,16436,13,3,525,1,7,0,0,2013-12-23,14:00:00,1
2013-12-24 14:00:00,1083,3,NB_OS,1,North,621.0,0,,16520,10,1,614,0,6,0,0,2013-12-24,14:00:00,2
2013-12-25 14:00:00,1083,3,NB_OS,1,North,539.5,16,Holiday,18090,4,3,265,0,1,0,0,2013-12-25,14:00:00,3
2013-12-26 14:00:00,1083,3,NB_OS,1,North,539.5,16,Holiday,17488,9,0,330,0,3,0,0,2013-12-26,14:00:00,4
2013-12-27 14:00:00,1083,3,NB_OS,1,North,467.0,0,,17312,11,1,461,0,5,0,0,2013-12-27,14:00:00,5
2013-12-28 14:00:00,1083,3,NB_OS,1,North,461.0,0,,17214,2,7,453,0,1,0,0,2013-12-28,14:00:00,6
2013-12-29 14:00:00,1083,3,NB_OS,1,North,397.0,0,,16698,13,1,390,1,5,0,0,2013-12-29,14:00:00,7
2013-12-30 14:00:00,1083,3,NB_OS,1,North,455.0,0,,16894,11,2,448,0,5,0,0,2013-12-30,14:00:00,1
2013-12-31 14:00:00,1083,3,NB_OS,1,North,471.0,0,,16791,17,2,460,1,8,0,0,2013-12-31,14:00:00,2
2015-12-01 14:00:00,1083,3,NB_OS,1,North,506.0,0,,16220,47,2,480,0,23,1,0,2015-12-01,14:00:00,2
2015-12-02 14:00:00,1083,3,NB_OS,1,North,534.0,0,,15952,26,1,518,0,14,0,1,2015-12-02,14:00:00,3
2015-12-03 14:00:00,1083,3,NB_OS,1,North,511.0,0,,15993,31,5,488,2,16,0,0,2015-12-03,14:00:00,4
