Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume,date,hours,/Users/ushisensei/datalake/weekday
2012-11-01 06:00:00,1083,3,NB_OS,1,North,325,0,,17416,31,0,314,1,9,1,0.0,2012-11-01,06:00:00,4
2012-11-02 06:00:00,1083,3,NB_OS,1,North,295,0,,17705,24,1,287,0,6,1,0.0,2012-11-02,06:00:00,5
2012-11-03 06:00:00,1083,3,NB_OS,1,North,80,0,,18142,38,0,77,0,3,0,0.0,2012-11-03,06:00:00,6
2012-11-04 06:00:00,1083,3,NB_OS,1,North,60,0,,18120,33,0,58,0,2,0,0.0,2012-11-04,06:00:00,7
2012-11-05 06:00:00,1083,3,NB_OS,1,North,317,0,,17399,13,2,311,0,4,0,0.0,2012-11-05,06:00:00,1
2012-11-07 06:00:00,1083,3,NB_OS,1,North,355,0,,17837,11,2,349,0,4,0,0.0,2012-11-07,06:00:00,3
2012-11-08 06:00:00,1083,3,NB_OS,1,North,320,0,,17872,12,1,315,0,4,0,0.0,2012-11-08,06:00:00,4
2012-11-09 06:00:00,1083,3,NB_OS,1,North,319,0,,17847,16,1,313,0,5,0,0.0,2012-11-09,06:00:00,5
2012-11-10 06:00:00,1083,3,NB_OS,1,North,76,0,,18600,0,0,75,1,0,0,0.0,2012-11-10,06:00:00,6
2012-11-11 06:00:00,1083,3,NB_OS,1,North,48,0,,18391,42,1,45,0,2,0,0.0,2012-11-11,06:00:00,7
2012-11-12 06:00:00,1083,3,NB_OS,1,North,343,0,,17707,35,0,331,0,12,0,0.0,2012-11-12,06:00:00,1
2012-11-13 06:00:00,1083,3,NB_OS,1,North,356,0,,17777,28,2,344,0,10,0,0.0,2012-11-13,06:00:00,2
2012-11-14 06:00:00,1083,3,NB_OS,1,North,332,0,,18010,18,0,326,0,6,0,0.0,2012-11-14,06:00:00,3
2012-11-15 06:00:00,1083,3,NB_OS,1,North,330,0,,17747,39,0,317,0,13,0,0.0,2012-11-15,06:00:00,4
