date,place,team
16/07/2017, A ,Los Angeles Galaxy
18/07/2017, A ,Real Salt Lake
21/07/2017, N ,Manchester City
23/07/2017, N ,Real Madrid
27/07/2017, N ,FC Barcelona
30/07/2017, A ,Vålerenga IF
02/08/2017, H ,FC Basel
12/09/2017, H ,CSKA Moskva
27/09/2017, A ,SL Benfica
18/10/2017, A ,SL Benfica
31/10/2017, H ,FC Basel
22/11/2017, A ,CSKA Moskva
05/12/2017, H ,Sevilla FC
21/02/2018, A ,Sevilla FC
13/03/2018, H ,Real Madrid
08/08/2017, N ,West Ham United
13/08/2017, H ,Swansea City
19/08/2017, A ,Leicester City
26/08/2017, H ,Stoke City
09/09/2017, A ,Everton FC
17/09/2017, H ,Southampton FC
23/09/2017, A ,Crystal Palace
30/09/2017, H ,Liverpool FC
14/10/2017, A ,Huddersfield Town
21/10/2017, A ,Tottenham Hotspur
28/10/2017, H ,Chelsea FC
05/11/2017, A ,Newcastle United
18/11/2017, H ,Brighton & Hove Albion
25/11/2017, H ,Watford FC
28/11/2017, A ,Arsenal FC
02/12/2017, A ,Manchester City
10/12/2017, H ,AFC Bournemouth
13/12/2017, H ,West Bromwich Albion
17/12/2017, A ,Leicester City
23/12/2017, A ,Burnley FC
26/12/2017, H ,Southampton FC
30/12/2017, H ,Everton FC
01/01/2018, A ,Stoke City
15/01/2018, H ,Burnley FC
20/01/2018, A ,Tottenham Hotspur
31/01/2018, A ,Huddersfield Town
03/02/2018, H ,Newcastle United
11/02/2018, A ,Chelsea FC
25/02/2018, H ,Crystal Palace
05/03/2018, A ,Liverpool FC
10/03/2018, H ,Swansea City
31/03/2018, H ,Manchester City
07/04/2018, A ,West Bromwich Albion
15/04/2018, H ,AFC Bournemouth
18/04/2018, A ,Arsenal FC
29/04/2018, H ,Brighton & Hove Albion
04/05/2018, A ,West Ham United
10/05/2018, A ,Watford FC
13/05/2018, H ,Derby County
05/01/2018, H ,Yeovil Town
26/01/2018, A ,Huddersfield Town
17/02/2018, A ,Brighton & Hove Albion
17/03/2018, H ,Tottenham Hotspur
21/04/2018, H ,Chelsea FC
19/05/2018, N ,Burton Albion
20/09/2017, H ,Swansea City
24/10/2017, A ,Bristol City
