date,place,team
19/09/2012, H ,CFR Cluj
02/10/2012, A ,Sporting Braga
23/10/2012, H ,Sporting Braga
07/11/2012, A ,CFR Cluj
20/11/2012, A ,Real Madrid
05/12/2012, H ,Real Madrid
13/02/2013, A ,Everton FC
05/03/2013, H ,Fulham FC
20/08/2012, A ,Southampton FC
25/08/2012, H ,Wigan Athletic
02/09/2012, A ,Liverpool FC
15/09/2012, H ,Tottenham Hotspur
23/09/2012, A ,Newcastle United
29/09/2012, H ,Stoke City
07/10/2012, A ,Chelsea FC
20/10/2012, H ,Arsenal FC
28/10/2012, A ,Aston Villa
03/11/2012, H ,Norwich City
10/11/2012, A ,Queens Park Rangers
17/11/2012, A ,West Ham United
24/11/2012, H ,Reading FC
28/11/2012, H ,Manchester City
01/12/2012, A ,Sunderland AFC
09/12/2012, A ,Swansea City
15/12/2012, H ,Newcastle United
23/12/2012, A ,West Bromwich Albion
26/12/2012, H ,Wigan Athletic
29/12/2012, H ,Liverpool FC
01/01/2013, A ,Tottenham Hotspur
13/01/2013, H ,Southampton FC
20/01/2013, A ,Fulham FC
30/01/2013, H ,Everton FC
02/02/2013, A ,Queens Park Rangers
10/02/2013, H ,Norwich City
23/02/2013, A ,Reading FC
02/03/2013, H ,Sunderland AFC
16/03/2013, H ,Manchester City
30/03/2013, A ,Stoke City
08/04/2013, H ,West Ham United
14/04/2013, A ,Aston Villa
17/04/2013, A ,Arsenal FC
22/04/2013, H ,Chelsea FC
28/04/2013, A ,Swansea City
05/05/2013, H ,West Bromwich Albion
12/05/2013, H ,West Ham United
19/05/2013, A ,West Ham United
05/01/2013, A ,Fulham FC
16/01/2013, H ,Reading FC
26/01/2013, H ,Chelsea FC
18/02/2013, H ,Chelsea FC
10/03/2013, H ,Newcastle United
01/04/2013, A ,Chelsea FC
