date,place,team
15/09/2015, A ,PSV Eindhoven
30/09/2015, H ,VfL Wolfsburg
21/10/2015, A ,CSKA Moskva
03/11/2015, H ,CSKA Moskva
25/11/2015, H ,PSV Eindhoven
08/12/2015, A ,VfL Wolfsburg
18/08/2015, H ,Club Brugge KV
26/08/2015, A ,Club Brugge KV
18/02/2016, A ,FC Midtjylland
25/02/2016, H ,FC Midtjylland
10/03/2016, A ,Liverpool FC
17/03/2016, H ,Liverpool FC
08/08/2015, H ,Tottenham Hotspur
14/08/2015, A ,Aston Villa
22/08/2015, H ,Newcastle United
30/08/2015, A ,Swansea City
12/09/2015, H ,Liverpool FC
20/09/2015, A ,Southampton FC
26/09/2015, H ,Sunderland AFC
04/10/2015, A ,Arsenal FC
17/10/2015, A ,Everton FC
25/10/2015, H ,Manchester City
31/10/2015, A ,Crystal Palace
07/11/2015, H ,West Bromwich Albion
21/11/2015, A ,Watford FC
28/11/2015, A ,Leicester City
05/12/2015, H ,West Ham United
12/12/2015, A ,AFC Bournemouth
19/12/2015, H ,Norwich City
26/12/2015, A ,Stoke City
28/12/2015, H ,Chelsea FC
02/01/2016, H ,Swansea City
12/01/2016, A ,Newcastle United
17/01/2016, A ,Liverpool FC
23/01/2016, H ,Southampton FC
02/02/2016, H ,Stoke City
07/02/2016, A ,Chelsea FC
13/02/2016, A ,Sunderland AFC
28/02/2016, H ,Arsenal FC
02/03/2016, H ,Watford FC
06/03/2016, A ,West Bromwich Albion
20/03/2016, A ,Manchester City
03/04/2016, H ,Everton FC
10/04/2016, A ,Tottenham Hotspur
16/04/2016, H ,Aston Villa
20/04/2016, H ,Crystal Palace
01/05/2016, H ,Leicester City
07/05/2016, A ,Norwich City
10/05/2016, A ,West Ham United
17/05/2016, H ,AFC Bournemouth
09/01/2016, H ,Sheffield United
29/01/2016, A ,Derby County
22/02/2016, A ,Shrewsbury Town
13/03/2016, H ,West Ham United
13/04/2016, A ,West Ham United
23/04/2016, A ,Everton FC
21/05/2016, N ,Crystal Palace
23/09/2015, H ,Ipswich Town
28/10/2015, H ,Middlesbrough FC
